"元素ID","名称","类型","标签","移动消耗","阻挡移动","阻挡攻击线","耐久","持续与计时","触发","效果","变化后元素","边与覆盖规则","启用","版本"
"block_aether_crystal","蓄能晶簇","物块","晶簇|可破坏","不适用","是","否","16","永久，直到被摧毁","被摧毁","正交邻接四格单位各受到8点以太伤害；中心及正交四格生成碎晶","tile_crystal_shard","不伤其他物块且不连锁","是","1"
"block_aether_crystal_heavy","精英稳压晶簇","物块","晶簇|可破坏|重型","不适用","是","否","24","永久，直到被摧毁","被摧毁","正交邻接四格单位各受到8点以太伤害；中心及正交四格生成碎晶","tile_crystal_shard","不伤其他物块且不连锁","是","1"
"block_heavy_cover","重掩体","物块","掩体|重型|可破坏","不适用","是","是","24","永久，直到被摧毁","本单位回合开始时正交邻接","单位获得4护盾","无","同一来源在同一次本单位回合开始结算中只触发一次","是","1"
"block_lamp_vine","灯藤","物块","灯藤|藏身|易碎|可进入","2","否","是","6","永久，直到被摧毁","进入；移动经过；被攻击；被摧毁","进入相连藤丛时记录第一格并隐藏真实格；藤内仅能攻击正交相邻目标；搜查攻击同时命中灯藤与同格单位","无","相连藤丛按正交连接；搜索分支由战斗种子决定并写入存档","是","1"
"block_light_cover","轻掩体","物块","掩体|轻型|可进入|可破坏","1","否","否","8","永久，直到被摧毁","本单位回合开始时站立其上","单位获得2护盾","无","同一来源在同一次本单位回合开始结算中只触发一次","是","1"
"block_permanent_heavy","永久重物块","物块","永久|重物块","不适用","是","是","不可破坏","永久","无","无","无","不是合法受击目标","是","1"
"field_burning","燃烧地格","场地效果","火场|伤害","1","否","否","不适用","由来源配置持续2／3／4公共回合；生成当下不扣次数，此后任意单位开始行动时先减1，归零先移除","单位进入有效火场，或公共回合开始时仍站在有效火场上；同一单位每次行动至多触发一次火场伤害；脚下生成时不立即触发","按来源配置对进入或停留单位造成8或12点火焰伤害","无","优先级1；每格最多一个场地效果；同级后生成者覆盖并按新来源刷新完整伤害与持续回合；更高优先级覆盖，低级生成失败","是","1"
"tile_crystal_shard","碎晶","瓦片","晶簇碎片|困难地形","2","否","否","不适用","永久","单位进入","额外移动消耗；不持续伤害","无","不叠加；生成时不向已站立单位追加移动费用","是","1"
"field_water_shallow","浅水","场地效果","水|困难地形","2","否","否","不适用","永久，直到被覆盖","单位进入；被火场覆盖","立即移除燃烧；不伤害、不隐藏单位、不附加状态","无","优先级1；每格最多一个场地效果；同级后生成者覆盖；被火场覆盖表示蒸散，覆盖火场表示浇灭；寻迹兽进入仅消耗1移动；冲压逐格支付路径代价","是","1"
"field_loose_paper","散页","场地效果","可燃|松散材料|困难地形","2","否","否","不适用","永久，直到被点燃、被吹散或被浅水打湿","单位进入；被点燃；被风搬动；被浅水打湿","额外移动消耗；被点燃时转为燃烧地格；被风逐格搬动；被浅水打湿后暂时不可燃","field_burning","优先级1；每格最多一个场地效果；同级后生成者覆盖；与浅水的覆盖关系待浅水统一为效果层后生效","是","1"
"field_trace","痕迹","场地效果","痕迹|信息","0","否","否","不适用","由来源配置持续；被浅水、燃烧地格或强风作用时立即移除","单位经过；被追踪类单位读取；被浅水、燃烧地格、强风作用","记录该单位经过；追踪类单位沿痕迹移动且不受慢行地形影响","无","优先级1；每格最多一个场地效果；被浅水、燃烧地格覆盖即清除","是","1"
"field_binding_mark","约束纹","场地效果","约束|控制","0","否","否","不适用","由来源配置持续","单位进入","进入者留在原格，不能主动移动","无","优先级1；每格最多一个场地效果；被浅水、燃烧地格、烟尘覆盖即失效","是","1"
"field_smoke","烟尘","场地效果","遮蔽|光","1","否","否","不适用","由来源配置持续","单位进入；光与显影经过","削弱经过的远程攻击线与显影效果","无","优先级1；每格最多一个场地效果；可被强风搬动或吹散","是","1"
"block_staked_structure","标定结构","物块","掩体|临时|可破坏","不适用","是","是","按来源配置，生成时公开","由来源配置；被摧毁","被摧毁；本单位回合开始时正交邻接","阻挡移动与攻击线；邻接单位获得结构护盾","无","同一来源在同一次本单位回合开始结算中只触发一次；敌我均可生成与拆解","是","1"
"block_overload_device","过载装置","物块","设备|可破坏|危险","不适用","是","否","按来源配置","永久，直到被摧毁或引爆","被摧毁；被引爆","对正交邻接四格结算一次过载伤害，敌我一致","无","伤害对单位与可破坏物一致结算；敌我均可布放与拆除","是","1"
"block_certifier_stand","检定台","物块","设备|读数|可破坏","不适用","是","否","按来源配置","永久，直到被摧毁","被摧毁；单位进入正交邻接","为附近单位提供公开读数","无","读数为公开信息，敌我同规则读取；敌我均可拆除","是","1"
"block_ward_generator","护罩发生器","物块","设备|护盾|可破坏","不适用","是","否","按来源配置","永久，直到被摧毁","被摧毁；本单位回合开始时正交邻接","为配置声明范围内的单位提供结构护盾","无","护盾来源公开；装置被摧毁时其护盾立即消失；敌我均可拆除","是","1"
"block_tower_mechanism","塔内机关","物块","设备|可破坏|塔内机关","不适用","是","否","24","永久，直到被摧毁","被摧毁；被塔之守卫放行","放行前不提供任何效果；放行后计入维护链，为塔之守卫提供每回合护盾与施术加成","无","阻挡移动但不阻挡攻击线；耐久公开；敌我均可拆除；只用于封存塔首领关卡","是","1"
"env_wind","风","环境状态","环境|搬动|全场","不适用","否","否","不适用","由来源配置持续；每公共回合公开风向与风级","回合开始；被任一单位改变","按公开风向逐格搬动松散材料（散页、碎晶、烟尘）；不改变其他动作的路径与射程","无","全场唯一，不占格；改变风向的次数有限且公开","是","1"
"env_light_lane","光带","环境状态","环境|光|可见性","不适用","否","否","不适用","由来源配置持续；光源转向时即时刷新","光源生成或转向；被重掩体、建筑、灯藤遮断","形成公开直线照明区；被遮断处留下暗段","无","全场可同时存在多条；遮断判定与攻击线使用同一规则","是","1"
