规则ID,系统,名称,数值或规则,适用范围,备注
CORE-AP-01,行动经济,每回合行动点,3,共用,每次获得自身回合时重置
CORE-MOVE-01,移动,基础移动力,5格,共用,一次移动行动消耗1AP
CORE-MOVE-02,移动,迟缓移动力,3格,共用,迟缓生效时覆盖基础移动力
CORE-MANA-01,个人魔力,进入战斗,恢复满,共用,基础上限12；装备可修改当前上限
CORE-DELAY-01,行动条,行动延时,按动作配置,共用,不设统一轻延时与重延时固定值
CORE-DMG-01,伤害,伤害包,同次命中全部伤害分量先合并,共用,多次命中逐包结算
CORE-DMG-02,伤害,默认结算顺序,百分比减伤→护盾→生命,共用,特殊效果可按配置覆盖默认顺序
CORE-DMG-03,伤害,百分比减伤上限,50%,共用,同类取最高异类乘算结果向上取整
CORE-SHIELD-01,护盾,生命周期,仅当前战斗有效,共用,自身回合开始清除旧护盾再结算新护盾
CORE-COVER-01,掩体,轻掩体护盾,2,共用,可进入且不阻挡视线；每回合结束时提供
CORE-COVER-02,掩体,重掩体护盾,4,共用,不可进入并阻挡移动和视线；位于正面相邻格时每回合结束提供
CORE-BREAK-01,破势,持续,至目标下一次自身回合结束,共用,施加时清盾并禁止新护盾
CORE-STATUS-01,状态,有效状态,燃烧／迟缓／束缚／破势,共用,眩目与显形已标记删除
CORE-INVENTORY-01,背包,基础网格,6×10,下一套Build,本Build固定；后续是否随背包装备变化另行决定
CORE-INVENTORY-02,背包,战斗中整理,消耗1AP进入整理界面,共用,整理界面允许更换装备和战术栏
CORE-QUICK-01,快捷栏,战术栏槽位,4,共用,战术道具独立实例
CORE-SPELLS-01,术式,学院槽位,8,肉鸽学院,装备术式可直接使用且战斗中锁定配置
CORE-MAP-01,学院地图,完整版本节点总量,40,肉鸽学院完整版本,不进入下一套Build
CORE-MAP-02,学院地图,提前首领门槛,完成12节点并取得2核心许可,肉鸽学院,学院时序低于28时
CORE-MAP-03,区域内容,生成权重,区域特色敌人与事件高概率出现,肉鸽地图,不锁死内容且抽取结果写入存档
CORE-MAP-04,区域内容,复用范围,学院与后续世界冒险共用,肉鸽地图,不同地区配置独立敌人事件与奖励权重
CORE-TIME-01,学院时序,普通战斗成本,2,肉鸽学院,节点结果确认后结算
CORE-TIME-02,学院时序,精英战斗成本,3,肉鸽学院,节点结果确认后结算
CORE-TIME-03,学院时序,事件成本,1,肉鸽学院,节点结果确认后结算
CORE-TIME-04,学院时序,首领战成本,3,肉鸽学院,节点结果确认后结算
CORE-TIME-05,学院时序,强制首领阈值,28,肉鸽学院,完整结算当前节点后进入首领阶段
CORE-RECOVER-01,自然恢复,每时序生命恢复,4,肉鸽学院,不恢复个人魔力
CORE-STORY-01,剧情探索,时间压力,无,剧情,无倒计时敌情推进拖延关门或地点永久错过
CORE-DET-01,确定性,命令结果,相同状态和配置执行相同命令得到相同结果,共用,允许随机选取目标但同一SL结果必须一致
CORE-SEED-01,随机种子,生成时机,创建单轮时生成并写入存档,肉鸽,读取存档不重抽地图敌群事件和奖励
CORE-STATE-01,状态层级,运行状态,单轮状态→节点状态→战斗状态,共用,界面状态只读取和展示
CORE-CMD-01,命令链,执行顺序,预览→检查→确认→扣费→执行→结算→胜负检查→刷新,共用,界面不得直接修改游戏数值
CORE-CMD-02,命令链,失败处理,合法性检查失败不执行且不扣费,共用,单个命令不得部分执行
CORE-GRID-01,格子,单位占位,一个格子最多一个单位,共用,阻挡格和占用格不能穿过或作为主动移动终点
CORE-GRID-02,移动,路径计算,上下左右可通行路径格数,共用,射程按横纵格距离计算
CORE-TURN-01,行动条,同刻度顺序,按战斗开始时确定的固定顺序,共用,死亡单位移出行动条
CORE-NODE-01,节点结算,结算时机,节点结果确认后统一结算,肉鸽学院,选择节点只更新当前位置
CORE-NODE-02,节点回访,重复结算,不重复耗时且不重复获得奖励,肉鸽学院,仅限已完成节点
CORE-PERSIST-01,战斗继承,战后魔力,保留结算值；下次进入战斗恢复满,共用,存档记录战后值但开战时写满当前上限
CORE-SAVE-01,存档,自动保存节点,创建单轮选择节点事件选择战斗结算领取奖励装备或背包变更,共用,写入失败保留原存档并提示
CORE-EQUIP-01,装备,装备位数量,9,共用,头1胸1鞋1背包1戒指2项链1武器1施法单元1
CORE-SERVICE-01,医务室,功能,恢复最大生命50%＋随机餐食3选1,下一套Build,恢复与餐食各可执行一次且互不占用
